Publication Date,Title,URL
2015-03-05T18:11:41Z,ShareAction gets organised as AGM season kicks off,https://www.theguardian.com/business/2015/mar/05/shareaction-gets-organised-as-agm-season-kicks-off
2015-03-05T17:09:40Z,Virgin Money doubles annual profit in first resulsts since it listed,https://www.theguardian.com/business/2015/mar/05/virgin-money-doubles-annual-profit-first-results-listing
2015-03-05T16:46:58Z,Markets rally as ECB hikes growth forecasts and begins QE – as it happened,https://www.theguardian.com/business/live/2015/mar/05/european-central-bank-ecb-meeting-protests-cyprus-mario-draghi-live
2015-03-05T15:33:06Z,ECB meeting: Mario Draghi is upbeat but eurozone risks remain,https://www.theguardian.com/business/economics-blog/2015/mar/05/ecb-meeting-mario-draghi-is-upbeat-but-eurozone-risks-remain
2015-03-05T15:08:53Z,Betfair has got on with the job of giving punters what they want,https://www.theguardian.com/business/nils-pratley-on-finance/2015/mar/05/betfair-has-got-on-with-the-job-of-giving-punters-what-they-want
2015-03-05T14:00:05Z,"UK trade deal finances 'dirty energy' projects in Mexico, says Greenpeace",https://www.theguardian.com/business/2015/mar/05/uk-investment-in-mexican-oil-firm-angers-greenpeace
2015-03-05T13:22:32Z,Aviva and Friends Life report forecast-beating annual profits ahead of takeover,https://www.theguardian.com/business/2015/mar/05/aviva-and-friends-life-annual-profits-takeover-insurer-pension-annuity-sales
2015-03-05T12:42:23Z,UK interest rates mark six-year anniversary at record low,https://www.theguardian.com/business/2015/mar/05/uk-interest-rates-mark-six-year-anniversary-at-record-low
2015-03-05T11:39:27Z,AbbVie takes over Pharmacyclics in latest Big Pharma takeover,https://www.theguardian.com/business/2015/mar/05/abbvie-takes-over-pharmacyclics-in-latest-big-pharma-takeover
2015-03-05T11:24:12Z,Willie Walsh pay deal rises 30% at IAG,https://www.theguardian.com/business/2015/mar/05/willie-walsh-pay-deal-rises-30-at-iag
2015-03-05T07:36:56Z,Cadbury withdraws application for $16m in federal funding,https://www.theguardian.com/business/2015/mar/05/cadbury-withdraws-application-for-16m-in-federal-funding
2015-03-05T03:46:43Z,Nurofen manufacturer sued over false claims on packets,https://www.theguardian.com/business/2015/mar/05/accc-sues-reckitt-benckiser-over-false-claims-on-nurofen-packets
2015-03-05T01:51:14Z,Etsy formally files for initial public offering on Nasdaq,https://www.theguardian.com/business/2015/mar/05/etsy-formally-files-for-initial-public-offering-on-nasdaq
2015-03-05T00:01:20Z,"Number of ultra-rich swells to almost 173,000",https://www.theguardian.com/business/2015/mar/05/number-ultra-rich-173000-uhnwis-property
2015-03-06T19:02:48Z,Greece proposes undercover tax inspectors; US jobs report beats forecasts – as it happened,https://www.theguardian.com/business/live/2015/mar/06/ecb-qe-japan-market-greece-us-unemployment-live
2015-03-06T18:46:31Z,Euro slides on eve of  ECB stimulus programme,https://www.theguardian.com/business/2015/mar/06/euro-slides-on-eve-of-ecb-stimulus-programme
2015-03-06T18:01:26Z,Apple to join Dow Jones index this month,https://www.theguardian.com/business/2015/mar/06/apple-to-join-dow-jones-index-this-month
2015-03-06T17:31:02Z,DFS returns to market with listing that values furniture group at £543m,https://www.theguardian.com/business/2015/mar/06/dfs-returns-to-market-with-listing-that-values-furniture-group-at-543m
2015-03-06T16:38:18Z,Royal Bank of Scotland top bankers received millions despite £3.5bn loss,https://www.theguardian.com/business/2015/mar/06/royal-bank-of-scotland-top-bankers-received-millions-despite-35bn-loss
2015-03-06T16:23:47Z,US unemployment at lowest since 2008 – but young people still can't find work,https://www.theguardian.com/business/2015/mar/06/us-economy-booms-youth-unemployment
2015-03-06T15:08:14Z,Mike Ashley 'too busy' to face MPs over zero-hours contracts,https://www.theguardian.com/business/2015/mar/06/mike-ashley-too-busy-to-face-mps-over-zero-hours-contracts
2015-03-06T13:38:59Z,"US economy shrugs off winter weather to add 295,000 jobs in February",https://www.theguardian.com/business/2015/mar/06/us-unemployment-jobs-numbers-february
2015-03-06T12:53:55Z,Fewer women leading FTSE firms than men called John,https://www.theguardian.com/business/2015/mar/06/johns-davids-and-ians-outnumber-female-chief-executives-in-ftse-100
2015-03-06T12:25:37Z,The noise from Brazil? An economy on the brink,https://www.theguardian.com/business/datablog/2015/mar/06/the-noise-from-brazil-an-economy-on-the-brink
2015-03-06T12:04:14Z,Alliance Trust warns on political uncertainty,https://www.theguardian.com/business/2015/mar/06/alliance-trust-warns-over-uk-election-and-scottish-independence
2015-03-06T11:49:38Z,"British public expects inflation to stay low, survey shows",https://www.theguardian.com/business/2015/mar/06/british-public-expects-inflation-to-stay-low-survey-shows
2015-03-06T08:19:28Z,Thomas Cook stake sold to China conglomerate,https://www.theguardian.com/business/2015/mar/06/thomas-cook-stake-sold-to-china-conglomerate
2015-03-06T08:16:12Z,NAB considers rewarding eco-friendly farmers with lower interest rates,https://www.theguardian.com/business/2015/mar/06/nab-considers-penalising-farmers-with-poor-environmental-track-records
2015-03-06T00:01:03Z,"Slowdown in business spending hitting UK growth, says accountancy body",https://www.theguardian.com/business/2015/mar/06/business-spending-uk-growth-accountancy-icaew-eurozone-general-election
2015-03-07T01:04:41Z,Australian dollar falls sharply after strong US jobs figures,https://www.theguardian.com/business/2015/mar/07/australian-dollar-falls-sharply-after-strong-us-jobs-figures
2015-03-07T00:01:00Z,John Lewis steps into Singapore as part of wholesale export plans,https://www.theguardian.com/business/2015/mar/07/john-lewis-singapore-wholesale-export-plans-annual-profits-concessions
2015-03-08T22:56:02Z,Intergenerational report: assumptions about government spending are a confusion of idiocy,https://www.theguardian.com/business/grogonomics/2015/mar/09/intergenerational-report-assumptions-about-government-spending-are-a-confusion-of-idiocy
2015-03-08T19:52:05Z,Six taboos that baby boomers avoid thinking about,https://www.theguardian.com/politics/2015/mar/08/six-taboos-baby-boomers-avoid-thinking-about
2015-03-08T19:24:00Z,Son of former JJB chairman to face trial for forgery,https://www.theguardian.com/business/2015/mar/08/son-former-jjb-chairman-trial-forgery-stuart-jones-sir-david-jones
2015-03-08T18:02:33Z,Greece threatens new elections if eurozone rejects planned reforms,https://www.theguardian.com/business/2015/mar/08/greece-threatens-new-elections-if-eurozone-rejects-planned-reforms
2015-03-08T13:53:52Z,Government small business scheme has handed out just £3.6m of £30m budget,https://www.theguardian.com/business/2015/mar/08/government-small-business-scheme-hands-out-just-36m-30m-budget
2015-03-08T12:57:03Z,Learning the Duolingo - how an app is speaking volumes,https://www.theguardian.com/business/2015/mar/08/learning-the-duolingo-how-one-app-speaks-volumes-for-language-learning
2015-03-08T10:52:23Z,Lord Browne bounces back into oil,https://www.theguardian.com/business/2015/mar/08/lord-browne-bounces-back-into-oil
2015-03-08T09:00:01Z,The Old Lady’s not for talking: what is the Bank of England not telling us?,https://www.theguardian.com/business/2015/mar/08/bank-of-england-old-lady-not-for-talking-sfo
2015-03-08T08:59:01Z,A hundred-year loan? Now that’s a long-term economic plan,https://www.theguardian.com/business/2015/mar/08/hundred-year-loan-long-term-economic-plan-budget-george-osborne
2015-03-09T22:01:45Z,HSBC chief admits his tax affairs 'further  damaged bank's reputation',https://www.theguardian.com/business/2015/mar/09/hsbc-stuart-gulliver-tax-affairs-damage-reputation-mps
2015-03-09T21:18:11Z,HSBC: Tory MPs accused of blocking watchdog's bid to question Green,https://www.theguardian.com/business/2015/mar/09/hsbc-tory-mps-accused-of-blocking-watchdogs-bid-to-question-green
2015-03-09T21:04:43Z,Eurogroup meeting: Ministers agree to start Greek technical talks - as it happened,https://www.theguardian.com/business/live/2015/mar/09/eurozone-finance-ministers-greece-referendum-bailout-live
2015-03-09T20:24:45Z,"UK uncertainties are real, but nothing saps confidence like the eurozone",https://www.theguardian.com/business/nils-pratley-on-finance/2015/mar/09/sir-martin-sorrell-uk-uncertainties-eurozone
2015-03-09T20:21:04Z,Barclays board member told to resign by UK's largest investor body,https://www.theguardian.com/business/2015/mar/09/barclays-board-member-told-to-resign-by-uks-largest-investor-body
2015-03-09T20:00:50Z,HSBC chiefs face Margaret Hodge at her most merciless,https://www.theguardian.com/business/2015/mar/09/hsbc-stuart-gulliver-rona-fairhead-margaret-hodge
2015-03-09T16:04:57Z,Argentina seeks to repatriate $3.5bn it claims HSBC helped offshore,https://www.theguardian.com/business/2015/mar/09/argentina-seeks-repatriate-hsbc-offshore
2015-03-09T15:27:52Z,McDonald's finds lovin' in short supply as sales fall for ninth straight month,https://www.theguardian.com/business/2015/mar/09/mcdonalds-sales-fall-worldwide-nine-straight-months
2015-03-09T14:00:21Z,"Tories do not want Stephen Green to give evidence over HSBC, Labour claims",https://www.theguardian.com/business/2015/mar/09/tories-do-not-want-stephen-green-to-give-evidence-over-hsbc-labour-claims
2015-03-09T11:02:51Z,Lloyds Bank share sell-off returns further £500m to Treasury,https://www.theguardian.com/business/2015/mar/09/lloyds-bank-share-sell-off-returns-further-500m-to-treasury
2015-03-09T10:06:54Z,HSBC bosses and BBC Trust chief face MPs over tax revelations,https://www.theguardian.com/news/2015/mar/09/hsbc-bosses-and-bbc-trust-chief-face-mps-over-tax-revelations
2015-03-09T00:01:07Z,Crowdfunders caught in logjam for FCA approval,https://www.theguardian.com/business/2015/mar/09/crowdfunders-caught-in-logjam-for-fca-approval
2015-03-10T21:11:10Z,US stocks markets fall amid investor anxiety about rising interest rates,https://www.theguardian.com/business/2015/mar/10/us-markets-fall-investors-rattled-rising-interest-rates
2015-03-10T20:42:05Z,Burger King eliminates soft drinks from children's meal menus,https://www.theguardian.com/society/2015/mar/10/burger-king-soft-drinks-childrens-menu
2015-03-10T20:24:13Z,Ryanair to become first airline to fly to Spain's ghost airport,https://www.theguardian.com/business/2015/mar/10/ryanair-first-airline-spains-ghost-airport-castellon
2015-03-10T20:16:01Z,Bonanza for Europe-bound Britons as single currency hits a post-crash low,https://www.theguardian.com/business/2015/mar/10/euro-fall-cheaper-european-holidays-dollar-pound-strong-greece-debt
2015-03-10T19:34:38Z,Asda shows worst sales in 20 years as Tesco begins to recover,https://www.theguardian.com/business/2015/mar/10/asda-shows-worst-its-sales-performance-in-20-years
2015-03-10T18:11:56Z,Co-op staff poised to get 8.5% pay rise,https://www.theguardian.com/business/2015/mar/10/co-op-staff-poised-to-get-85-pay-rise
2015-03-10T17:57:34Z,AstraZeneca chief rewarded with 5% pay rise after repelling Pfizer takeover bid,https://www.theguardian.com/business/2015/mar/10/soriot-rewarded-with-5-pay-rise-after-repelling-pfizer-takeover-bid
2015-03-10T16:34:13Z,Prudential shares fall but Credit Suisse gains after Thiam announces move to bank,https://www.theguardian.com/business/2015/mar/10/prudentials-tidjane-thiam-to-take-top-role-at-credit-suisse
2015-03-10T16:00:00Z,FirstGroup bids take on Virgin Trains east coast mainline,https://www.theguardian.com/business/2015/mar/10/firstgroup-bids-to-take-on-virgin-trains-on-east-coast-mainline
2015-03-10T15:47:46Z,EU ministers meet in Brussels - as it happened,https://www.theguardian.com/business/live/2015/mar/10/city-stunned-as-tidjane-thiam-quits-prudential-live-updates
2015-03-10T13:17:50Z,Thiam picks his moment to leave Prudential on a high,https://www.theguardian.com/business/2015/mar/10/tidjane-thiam-picks-his-moment-to-leave-prudential-on-a-high
2015-03-10T11:20:53Z,Man from Pru: Tidjane Thiam's departure shows banks still carry allure,https://www.theguardian.com/business/nils-pratley-on-finance/2015/mar/10/man-from-pru-tidjane-thiams-departure-shows-banks-still-carry-allure
2015-03-10T10:35:30Z,Peter Costello questions Hockey budget surpluses claim,https://www.theguardian.com/business/2015/mar/10/peter-costello-questions-hockey-budget-surpluses-claim
2015-03-10T06:37:13Z,Coalition's big news day on automotive industry ends in a car crash,https://www.theguardian.com/business/2015/mar/10/coalitions-big-news-day-on-automotive-industry-ends-in-a-car-crash
2015-03-10T00:35:38Z,"TTIP must not allow companies to sue EU countries for environmental laws, say MPs",https://www.theguardian.com/business/2015/mar/10/ttip-must-not-allow-companies-to-sue-eu-countries-for-environmental-laws-say-mps
2015-03-10T00:01:05Z,Retail sector continues to be hit by falling UK food sales,https://www.theguardian.com/business/2015/mar/10/retail-sector-continues-hit-falling-uk-food-sales-brc
2015-03-10T00:01:05Z,Virgin Atlantic soars back into profit,https://www.theguardian.com/business/2015/mar/10/virgin-atlantic-soars-back-into-profit
2015-03-11T20:08:33Z,HSBC's Flint in difficult position to deliver crucial accountability,https://www.theguardian.com/business/nils-pratley-on-finance/2015/mar/11/hsbcs-flint-difficult-position-deliver-crucial-accountability
2015-03-11T20:07:35Z,Euro sinks to 12-year low in value against the dollar,https://www.theguardian.com/business/2015/mar/11/euro-12-year-low-gainst-the-dollar
2015-03-11T19:39:46Z,The Office for Budget Responsibility’s role is not to make guesses | Letter from Robert Chote,https://www.theguardian.com/business/2015/mar/11/office-for-budget-responsibility-not-to-make-guesses
2015-03-11T19:11:51Z,E.ON reports record group losses as prepares to hive off fossil fuel business,https://www.theguardian.com/business/2015/mar/11/eon-reports-record-group-losses-hive-off-fossil-fuel-business-german
2015-03-11T18:43:45Z,"Pensioners escaped effects of austerity while young suffered most, says report",https://www.theguardian.com/business/2015/mar/11/pensioners-escaped-effects-austerity-young-suffered-most-resolution
2015-03-11T17:32:26Z,Tension escalates as Greece threatens to seize German assets – as it happened,https://www.theguardian.com/business/live/2015/mar/11/fears-over-china-slowdown-and-greek-crisis-escalate-live-updates
2015-03-11T17:31:33Z,Former Bank of England policymaker calls on HSBC chairman to quit,https://www.theguardian.com/business/2015/mar/11/former-bank-of-england-policymaker-calls-on-hsbc-chairman-to-quit
2015-03-11T16:51:43Z,Weale raises prospect of another split over interest rates at Bank of England,https://www.theguardian.com/business/2015/mar/11/weale-interest-rates-bank-of-england-mpc-oil-price-borrowing-costs
2015-03-11T14:03:02Z,N Brown issues second profit warning in less than six months,https://www.theguardian.com/business/2015/mar/11/n-brown-issues-second-profit-warning-in-less-than-six-months
2015-03-11T13:29:13Z,UK manufacturing production falls unexpectedly in January,https://www.theguardian.com/business/2015/mar/11/uk-manufacturing-production-falls-unexpectedly
2015-03-11T10:50:51Z,"Euro sinks closer to parity with US dollar, analysts say",https://www.theguardian.com/business/2015/mar/11/euro-drop-us-dollar-value-analysts
2015-03-11T09:48:05Z,Barcode-printer Domino agrees £1bn takeover by Japanese Brother,https://www.theguardian.com/business/2015/mar/11/barcode-printer-domino-1bn-takeover-japanese-brother-group
2015-03-11T09:15:02Z,Margaret Hodge accused of 'abusive and bullying' attack on BBC Trust chair,https://www.theguardian.com/media/2015/mar/10/rona-fairhead-ex-bbc-trust-chair-michael-lyons-margaret-hodge
2015-03-11T09:09:00Z,Foxtons cuts up to 60 jobs after downturn in London property market,https://www.theguardian.com/business/2015/mar/11/foxtons-warns-political-uncertainty-weighing-on-uk-property-market
2015-03-11T00:01:08Z,Businesses bullish on UK growth but wary of reliance on consumers,https://www.theguardian.com/business/2015/mar/11/businesses-bullish-on-uk-growth-but-wary-of-reliance-on-consumers
2015-03-12T19:26:26Z,TSB shares surge after takeover approach from Spanish bank,https://www.theguardian.com/business/2015/mar/12/tsb-shares-surge-after-takeover-approach-from-spanish-bank
2015-03-12T19:12:27Z,BT's rivals call for network to be split off as Ofcom launches probe,https://www.theguardian.com/business/2015/mar/12/talk-talk-sky-call-for-network-to-be-split-off-bt-ofcom-launches-probe
2015-03-12T17:30:07Z,Mark Carney allays fears of 30s-style deflationary spiral,https://www.theguardian.com/business/2015/mar/12/mark-carney-allays-fears-30s-style-deflationary-spiral-after-inflation-fall
2015-03-12T16:51:38Z,Greek PM: Greece will decide what is right for Greece  - as it happened,https://www.theguardian.com/business/live/2015/mar/12/varoufakis-ecb-policy-is-asphyxiating-greece-live-updates
2015-03-12T16:48:22Z,Bank must be careful about raising mortgage costs in current climate,https://www.theguardian.com/business/economics-blog/2015/mar/12/bank-must-be-careful-about-raising-mortgage-costs-in-current-climate
2015-03-12T14:05:40Z,Schism between Germany and Greece grows wider by the day,https://www.theguardian.com/business/economics-blog/2015/mar/12/germany-greece-disagreement-varoufakis-schauble-risks-eu-exit
2015-03-12T13:05:34Z,Britain's trade deficit shrinks as fall in oil prices cuts import costs,https://www.theguardian.com/business/2015/mar/12/britains-trade-deficit-shrinks-fall-oil-prices-cuts-import-costs
2015-03-12T12:49:19Z,Shell CEO Ben van Beurden paid €24.2m in 2014,https://www.theguardian.com/business/2015/mar/12/shell-ceo-ben-van-beurden-paid-242m-in-2014
2015-03-12T12:09:33Z,TSB takeover: the Spanish buyer Banco Sabadell,https://www.theguardian.com/business/2015/mar/12/tsb-takeover-the-spanish-buyer-banco-sabadell
2015-03-12T11:24:08Z,BHS sold for £1 – Sir Philip Green announces disposal of loss-making chain,https://www.theguardian.com/business/2015/mar/12/sir-philip-green-sells-off-lossmaking-bhs
2015-03-12T10:05:12Z,John Lewis cuts staff bonus to 12-year low after Waitrose profits tumble,https://www.theguardian.com/business/2015/mar/12/john-lewis-cuts-staff-bonus-to-lowest-level-for-12-years
2015-03-12T09:03:07Z,Morrisons: what the analysts say,https://www.theguardian.com/business/2015/mar/12/morrisons-what-the-analysts-say
2015-03-12T08:24:34Z,Morrisons' losses soar to £800m,https://www.theguardian.com/business/2015/mar/12/morrisons-losses-soar-to-800m
2015-03-12T01:47:12Z,Allowing first-home buyers to access their superannuation is another harebrained Hockey idea,https://www.theguardian.com/business/grogonomics/2015/mar/12/allowing-first-home-buyers-to-access-their-superannuation-is-another-harebrained-hockey-idea
2015-03-12T01:00:56Z,Living standards squeeze has hit young far harder than old,https://www.theguardian.com/business/2015/mar/12/living-standards-squeeze-has-hit-young-far-harder-than-old
2015-03-12T00:01:00Z,"House prices fall in London but rise across rest of UK, says RICS",https://www.theguardian.com/business/2015/mar/12/house-prices-fall-in-london-but-rise-across-rest-of-uk-says-rics
2015-03-12T00:01:00Z,"Tax on sugary drinks could save NHS £15m annually, claims study",https://www.theguardian.com/business/2015/mar/12/tax-sugary-drinks-nhs-child-health
2015-03-12T00:01:00Z,"Competition for Royal Mail could threaten universal service, MPs warn",https://www.theguardian.com/business/2015/mar/12/competition-royal-mail-could-threaten-universal-service-mps-ofcom
2015-03-13T19:27:29Z,Decline in UK housebuilding accelerates drop-off in construction activity,https://www.theguardian.com/business/2015/mar/13/decline-uk-housebuilding-drop-off-construction-ons-output-mortgage-approvals
2015-03-13T19:25:00Z,Angela Merkel's office denies ‘private feud’ between Greece and Germany,https://www.theguardian.com/business/2015/mar/13/angela-merkels-office-denies-private-feud-greece-germany
